 Gene	Chromosome	Start	End	GC	Type
HORVU2Hr1G085480	chr2H	618080899	618081494	0	nontranslating_CDS
HORVU2Hr1G060170	chr2H	400248802	400250403	41.39	protein_coding
HORVU5Hr1G005500	chr5H	8918191	8919151	33.9	protein_coding
HORVU5Hr1G037040	chr5H	266195806	266196110	45.25	protein_coding
HORVU2Hr1G027860	chr2H	93017618	93018223	64.03	protein_coding
HORVU5Hr1G060510	chr5H	474047461	474047578	38.14	protein_coding
HORVU5Hr1G005870	chr5H	9497612	9497997	46.89	protein_coding
HORVU2Hr1G006330	chr2H	13265820	13270008	40.42	protein_coding
HORVU5Hr1G042090	chr5H	320846237	320846563	34.25	protein_coding
HORVU2Hr1G057920	chr2H	374397049	374397282	47.86	protein_coding
HORVU5Hr1G051690	chr5H	403811237	403811506	48.15	protein_coding
HORVU2Hr1G071020	chr2H	502991822	502991944	42.28	protein_coding
HORVU5Hr1G015610	chr5H	59594726	59595412	51.09	protein_coding
HORVU5Hr1G004520	chr5H	8162338	8162460	43.09	protein_coding
HORVU2Hr1G019060	chr2H	49426156	49428040	46.68	protein_coding
HORVU2Hr1G041350	chr2H	203358870	203359043	51.72	protein_coding
HORVU5Hr1G123110	chr5H	663379391	663381062	49.22	protein_coding
HORVU2Hr1G017640	chr2H	44368005	44369998	42.63	protein_coding
HORVU5Hr1G054900	chr5H	430532093	430532359	59.18	protein_coding
HORVU2Hr1G010780	chr2H	21036125	21036298	67.24	protein_coding
HORVU5Hr1G116960	chr5H	649652704	649652870	58.08	protein_coding
HORVU2Hr1G050110	chr2H	287203775	287206226	36.05	protein_coding
HORVU2Hr1G005730	chr2H	12439738	12439989	0	nontranslating_CDS
HORVU5Hr1G007270	chr5H	13846614	13936299	46.06	protein_coding
HORVU2Hr1G062260	chr2H	419489273	419490961	39.86	protein_coding
HORVU5Hr1G004990	chr5H	8448245	8449155	53.79	protein_coding
HORVU5Hr1G052270	chr5H	408982734	408983227	58.3	protein_coding
HORVU2Hr1G087710	chr2H	629559066	629559712	45.6	protein_coding
HORVU2Hr1G082640	chr2H	599534482	599538253	41.25	protein_coding
HORVU5Hr1G049740	chr5H	386038210	386038753	55.88	protein_coding
HORVU5Hr1G000330	chr5H	1319798	1320394	58.79	protein_coding
HORVU2Hr1G040110	chr2H	194187857	194188535	38.29	protein_coding
HORVU5Hr1G115800	chr5H	647280301	647281181	65.85	protein_coding
HORVU2Hr1G080210	chr2H	581002947	581003312	60.86	protein_coding
HORVU5Hr1G041850	chr5H	317540271	317542340	45.27	protein_coding
HORVU2Hr1G032760	chr2H	128567387	128567662	46.74	protein_coding
HORVU2Hr1G032390	chr2H	126200251	126200941	57.6	protein_coding
HORVU5Hr1G030770	chr5H	190412391	190413818	42.09	protein_coding
HORVU2Hr1G062090	chr2H	419367690	419368388	40.82	protein_coding
HORVU5Hr1G000680	chr5H	2540146	2540872	48.28	protein_coding
HORVU2Hr1G057230	chr2H	365680204	365680860	60.46	protein_coding
HORVU2Hr1G081640	chr2H	592051984	592052847	53.24	protein_coding
HORVU5Hr1G025690	chr5H	141499115	141499983	50.52	protein_coding
HORVU2Hr1G015200	chr2H	33663940	33688956	45.3	protein_coding
HORVU2Hr1G021080	chr2H	59171718	59173184	56.31	protein_coding
HORVU5Hr1G048750	chr5H	377874038	377874597	65.18	protein_coding
HORVU2Hr1G048510	chr2H	271012009	271014848	39.3	protein_coding
HORVU2Hr1G029490	chr2H	105396629	105397459	63.9	protein_coding
HORVU5Hr1G125830	chr5H	669913290	669914779	37.11	protein_coding
HORVU2Hr1G012830	chr2H	27232049	27233340	66.56	protein_coding
HORVU2Hr1G036520	chr2H	162448747	162451807	51.91	protein_coding
HORVU5Hr1G031690	chr5H	203320280	203323262	49.18	protein_coding
HORVU5Hr1G056610	chr5H	443741180	443741967	40.61	protein_coding
HORVU2Hr1G031480	chr2H	119946171	119946589	44.9	protein_coding
HORVU5Hr1G118780	chr5H	653735539	653736114	41.84	protein_coding
HORVU2Hr1G043270	chr2H	219587702	219587926	36.89	protein_coding
HORVU5Hr1G066710	chr5H	508724344	508725013	64.18	protein_coding
HORVU2Hr1G071780	chr2H	512543636	512545878	0	nontranslating_CDS
HORVU5Hr1G068450	chr5H	517678032	517679321	57.75	protein_coding
HORVU2Hr1G076320	chr2H	549651994	549653135	45.01	protein_coding
HORVU5Hr1G024200	chr5H	129803232	129804750	47.33	protein_coding
HORVU2Hr1G025550	chr2H	79718897	79719047	72.19	protein_coding
HORVU2Hr1G043300	chr2H	219596677	219596827	56.95	protein_coding
HORVU5Hr1G008100	chr5H	18594274	18594444	0	nontranslating_CDS
HORVU2Hr1G033170	chr2H	131630025	131630919	0	nontranslating_CDS
HORVU5Hr1G031930	chr5H	204987293	204987556	0	nontranslating_CDS
HORVU2Hr1G029710	chr2H	107631152	107636685	44.34	protein_coding
HORVU2Hr1G026810	chr2H	86326178	86327145	60.05	protein_coding
HORVU2Hr1G006420	chr2H	13387668	13388082	0	nontranslating_CDS
HORVU5Hr1G056090	chr5H	438494084	438495463	66.52	protein_coding
HORVU5Hr1G009560	chr5H	23136527	23137555	57.29	protein_coding
HORVU5Hr1G123190	chr5H	663432992	663433189	53.03	protein_coding
HORVU2Hr1G037820	chr2H	174492975	174493349	44.27	protein_coding
HORVU2Hr1G021580	chr2H	61247669	61248568	42	protein_coding
HORVU5Hr1G049620	chr5H	385166708	385167016	43.69	protein_coding
HORVU2Hr1G034820	chr2H	143699989	143700114	55.56	protein_coding
HORVU2Hr1G027790	chr2H	92947991	92949485	50.29	protein_coding
HORVU5Hr1G056460	chr5H	441931908	441933625	49.2	protein_coding
HORVU5Hr1G024930	chr5H	134598431	134598757	0	nontranslating_CDS
HORVU2Hr1G043380	chr2H	220889057	220890315	42.65	protein_coding
HORVU2Hr1G005620	chr2H	12199716	12200898	54.18	protein_coding
HORVU5Hr1G010060	chr5H	24974701	24974911	47.39	protein_coding
HORVU2Hr1G056170	chr2H	353133302	353134884	41.3	protein_coding
HORVU5Hr1G009260	chr5H	21420352	21421105	43.77	protein_coding
HORVU5Hr1G007380	chr5H	14134390	14135173	38.52	protein_coding
HORVU2Hr1G070210	chr2H	495219301	495219549	43.37	protein_coding
HORVU5Hr1G057720	chr5H	452133570	452134109	48.7	protein_coding
HORVU2Hr1G074590	chr2H	538113951	538114369	58.47	protein_coding
HORVU5Hr1G059170	chr5H	462567807	462572367	49.09	protein_coding
HORVU2Hr1G042960	chr2H	217365716	217366344	59.94	protein_coding
HORVU5Hr1G017320	chr5H	66896470	66897260	59.17	protein_coding
HORVU2Hr1G020100	chr2H	53285505	53287024	59.28	protein_coding
HORVU5Hr1G039680	chr5H	289006554	289006692	72.66	protein_coding
HORVU5Hr1G006620	chr5H	11882546	11883286	49.93	protein_coding
HORVU2Hr1G014790	chr2H	32439910	32440721	0	nontranslating_CDS
HORVU5Hr1G036000	chr5H	253487354	253487548	46.15	protein_coding
HORVU5Hr1G013320	chr5H	42753036	42753230	66.67	protein_coding
HORVU5Hr1G032230	chr5H	210578599	210579159	38.68	protein_coding
HORVU2Hr1G027980	chr2H	93436016	93436154	52.52	protein_coding
HORVU5Hr1G012930	chr5H	40010429	40010731	32.01	protein_coding
HORVU5Hr1G023430	chr5H	122397528	122399865	43.46	protein_coding
HORVU2Hr1G045050	chr2H	235460878	235464745	39.23	protein_coding
HORVU5Hr1G059710	chr5H	466234638	466234891	0	nontranslating_CDS
HORVU2Hr1G069810	chr2H	492100010	492100732	56.51	protein_coding
HORVU5Hr1G064760	chr5H	498701903	498702445	33.7	protein_coding
HORVU5Hr1G023450	chr5H	122464383	122467574	44.57	protein_coding
HORVU5Hr1G006670	chr5H	11929101	11930855	64.27	protein_coding
HORVU2Hr1G012900	chr2H	27961022	27961576	0	nontranslating_CDS
HORVU5Hr1G038010	chr5H	274476442	274476585	47.22	protein_coding
HORVU5Hr1G066860	chr5H	509619928	509620547	56.61	protein_coding
HORVU2Hr1G072730	chr2H	523338401	523339409	38.75	protein_coding
HORVU5Hr1G056260	chr5H	440079175	440079437	53.61	protein_coding
HORVU5Hr1G019320	chr5H	84458177	84458533	38.66	protein_coding
HORVU2Hr1G053690	chr2H	329339665	329339787	43.09	protein_coding
HORVU5Hr1G041760	chr5H	317011229	317012060	56.67	protein_coding
HORVU5Hr1G011450	chr5H	30184494	30185339	49.88	protein_coding
HORVU2Hr1G051250	chr2H	300339548	300341190	55.14	protein_coding
HORVU5Hr1G036410	chr5H	257601111	257601401	61.51	protein_coding
HORVU2Hr1G030300	chr2H	111498913	111500002	37.61	protein_coding
HORVU5Hr1G022580	chr5H	115202730	115205906	54.83	protein_coding
HORVU2Hr1G062080	chr2H	419366242	419366689	0	nontranslating_CDS
HORVU5Hr1G001830	chr5H	5318461	5318661	55.72	protein_coding
HORVU5Hr1G115240	chr5H	645995508	645996732	40.82	protein_coding
HORVU2Hr1G030650	chr2H	113159031	113159461	45.71	protein_coding
HORVU2Hr1G056960	chr2H	363438540	363439246	60.11	protein_coding
HORVU5Hr1G067700	chr5H	514224892	514226873	64.63	protein_coding
HORVU2Hr1G068430	chr2H	481302728	481304407	54.35	protein_coding
HORVU5Hr1G061100	chr5H	478323636	478324276	65.21	protein_coding
HORVU2Hr1G063870	chr2H	432578400	432578840	65.31	protein_coding
HORVU5Hr1G125140	chr5H	668116590	668117531	54.46	protein_coding
HORVU2Hr1G046250	chr2H	245861525	245861758	49.15	protein_coding
HORVU5Hr1G125190	chr5H	668242695	668244938	0	nontranslating_CDS
HORVU5Hr1G066930	chr5H	509655495	509656349	45.85	protein_coding
HORVU2Hr1G023370	chr2H	69793989	69794773	0	nontranslating_CDS
HORVU2Hr1G017310	chr2H	40342595	40343695	55.31	protein_coding
HORVU5Hr1G060970	chr5H	477795178	477796620	45.35	protein_coding
HORVU2Hr1G075270	chr2H	542447009	542448823	61.38	protein_coding
HORVU2Hr1G062030	chr2H	419356666	419358013	43.18	protein_coding
HORVU5Hr1G031310	chr5H	196621952	196622239	40.28	protein_coding
HORVU2Hr1G079640	chr2H	576206608	576208098	0	nontranslating_CDS
HORVU5Hr1G112410	chr5H	639123518	639123812	40.34	protein_coding
HORVU2Hr1G051160	chr2H	298907464	298907898	41.84	protein_coding
HORVU2Hr1G057640	chr2H	370733980	370734577	39.97	protein_coding
HORVU5Hr1G045620	chr5H	352755344	352757223	46.28	protein_coding
HORVU2Hr1G039750	chr2H	190933893	190934000	0	nontranslating_CDS
HORVU2Hr1G051720	chr2H	304350209	304350340	62.12	protein_coding
HORVU5Hr1G039480	chr5H	286710079	286710988	60.44	protein_coding
HORVU2Hr1G044800	chr2H	234048964	234049110	46.94	protein_coding
HORVU2Hr1G060200	chr2H	400251279	400251981	40.54	protein_coding
HORVU5Hr1G020050	chr5H	90224222	90227005	36.49	protein_coding
HORVU2Hr1G025660	chr2H	80022918	80023641	47.51	protein_coding
HORVU5Hr1G062570	chr5H	486629275	486630158	53.05	protein_coding
HORVU2Hr1G067990	chr2H	476609069	476612991	50.45	protein_coding
HORVU5Hr1G020470	chr5H	94631499	94631762	42.8	protein_coding
HORVU2Hr1G083750	chr2H	607259654	607260256	0	nontranslating_CDS
HORVU5Hr1G056240	chr5H	440072524	440072832	52.07	protein_coding
HORVU2Hr1G024620	chr2H	74804110	74804917	57.18	protein_coding
HORVU5Hr1G061270	chr5H	479581181	479582615	55.75	protein_coding
HORVU2Hr1G005810	chr2H	12552118	12552480	41.6	protein_coding
HORVU5Hr1G016470	chr5H	61641257	61641461	69.27	protein_coding
HORVU2Hr1G048830	chr2H	273674055	273674207	53.59	protein_coding
HORVU2Hr1G040970	chr2H	199978515	199981286	50.73	protein_coding
HORVU5Hr1G046200	chr5H	358842119	358843436	59.64	protein_coding
HORVU2Hr1G050040	chr2H	285924044	285924196	68.63	protein_coding
HORVU2Hr1G030570	chr2H	112603345	112603893	53.92	protein_coding
HORVU2Hr1G012240	chr2H	25832686	25834002	0	nontranslating_CDS
HORVU5Hr1G043440	chr5H	335310021	335310140	55.83	protein_coding
HORVU2Hr1G041100	chr2H	201544321	201544992	50	protein_coding
HORVU5Hr1G065140	chr5H	498746855	498747817	39.88	protein_coding
HORVU2Hr1G019090	chr2H	49662635	49665552	40.24	protein_coding
HORVU5Hr1G030320	chr5H	186727234	186727473	68.33	protein_coding
HORVU2Hr1G073040	chr2H	525519427	525521336	63.04	protein_coding
HORVU2Hr1G058540	chr2H	381523602	381524027	0	nontranslating_CDS
HORVU5Hr1G045190	chr5H	349742595	349744342	44.97	protein_coding
HORVU2Hr1G029240	chr2H	102391275	102392747	52.07	protein_coding
HORVU2Hr1G070540	chr2H	497989798	497990211	47.34	protein_coding
HORVU5Hr1G058780	chr5H	458690397	458694783	45	protein_coding
HORVU2Hr1G070620	chr2H	498160888	498162880	47.05	protein_coding
HORVU5Hr1G056000	chr5H	438297563	438297760	60.1	protein_coding
HORVU2Hr1G007810	chr2H	16389621	16390506	48.31	protein_coding
HORVU5Hr1G046520	chr5H	361700514	361701472	53.49	protein_coding
HORVU2Hr1G021310	chr2H	60562878	60563111	34.62	protein_coding
HORVU2Hr1G037130	chr2H	168224851	168226856	49.2	protein_coding
HORVU5Hr1G042640	chr5H	326777046	326777558	50.49	protein_coding
HORVU2Hr1G013840	chr2H	29904198	29904736	51.21	protein_coding
HORVU5Hr1G065530	chr5H	501506935	501510996	41.69	protein_coding
HORVU2Hr1G079900	chr2H	577912967	577914379	64.83	protein_coding
HORVU2Hr1G087300	chr2H	627084285	627085760	49.25	protein_coding
HORVU5Hr1G013690	chr5H	45613520	45614156	44.43	protein_coding
HORVU2Hr1G076610	chr2H	551512047	551512280	47.44	protein_coding
HORVU5Hr1G005860	chr5H	9469326	9483847	42.53	protein_coding
HORVU2Hr1G067740	chr2H	474459732	474460746	57.54	protein_coding
HORVU2Hr1G026710	chr2H	85563762	85564100	66.37	protein_coding
HORVU5Hr1G011250	chr5H	29293127	29294240	49.91	protein_coding
HORVU2Hr1G064330	chr2H	436586573	436588035	56.25	protein_coding
HORVU5Hr1G025290	chr5H	138007458	138008256	45.36	protein_coding
HORVU2Hr1G018440	chr2H	47246040	47247612	54.23	protein_coding
HORVU2Hr1G021290	chr2H	60369025	60369183	42.77	protein_coding
HORVU5Hr1G019950	chr5H	88860932	88861657	64.44	protein_coding
HORVU2Hr1G084020	chr2H	609604634	609604920	47.39	protein_coding
HORVU2Hr1G070580	chr2H	497992576	497994200	33.54	protein_coding
HORVU5Hr1G016040	chr5H	59727000	59727189	0	nontranslating_CDS
HORVU2Hr1G006810	chr2H	14214133	14214948	50.12	protein_coding
HORVU5Hr1G017210	chr5H	66411136	66411717	49.48	protein_coding
HORVU2Hr1G072100	chr2H	516257605	516266365	43.63	protein_coding
HORVU5Hr1G002710	chr5H	6783231	6783949	43.53	protein_coding
HORVU2Hr1G052020	chr2H	308455659	308455984	46.93	protein_coding
HORVU2Hr1G072920	chr2H	525333661	525335022	52.86	protein_coding
HORVU5Hr1G014500	chr5H	52897587	52898915	58.01	protein_coding
HORVU2Hr1G088120	chr2H	632093286	632093476	0	nontranslating_CDS
HORVU5Hr1G064060	chr5H	495155851	495156745	63.91	protein_coding
HORVU2Hr1G059830	chr2H	398029143	398029415	56.41	protein_coding
HORVU2Hr1G014500	chr2H	31739172	31739642	52.38	protein_coding
HORVU2Hr1G046270	chr2H	246071926	246073314	39.69	protein_coding
HORVU2Hr1G062010	chr2H	419349449	419349624	39.77	protein_coding
HORVU2Hr1G036330	chr2H	160449480	160449716	68.35	protein_coding
HORVU5Hr1G008050	chr5H	18037869	18039692	69.35	protein_coding
HORVU2Hr1G036990	chr2H	167695101	167695732	51.42	protein_coding
HORVU5Hr1G055490	chr5H	435605169	435606267	0	nontranslating_CDS
HORVU5Hr1G115350	chr5H	646356412	646356801	76.92	protein_coding
HORVU2Hr1G023820	chr2H	71812910	71818481	44.04	protein_coding
HORVU5Hr1G032870	chr5H	216186877	216187766	59.44	protein_coding
HORVU2Hr1G027720	chr2H	92754300	92754980	66.05	protein_coding
HORVU2Hr1G058390	chr2H	381076619	381078152	43.35	protein_coding
HORVU2Hr1G026600	chr2H	84771148	84771453	64.38	protein_coding
HORVU5Hr1G122450	chr5H	662160343	662161414	53.36	protein_coding
HORVU5Hr1G113890	chr5H	642911954	642912160	65.22	protein_coding
HORVU2Hr1G016910	chr2H	39089280	39089441	37.65	protein_coding
HORVU5Hr1G005430	chr5H	8907878	8908063	32.8	protein_coding
HORVU5Hr1G030980	chr5H	193054074	193054505	46.99	protein_coding
HORVU2Hr1G059620	chr2H	395136593	395139284	41.83	protein_coding
HORVU5Hr1G025070	chr5H	135513039	135513332	42.18	protein_coding
HORVU2Hr1G039300	chr2H	187539190	187539694	59.6	protein_coding
HORVU5Hr1G006030	chr5H	9910155	9911380	44.54	protein_coding
HORVU2Hr1G041470	chr2H	204404551	204404945	40.25	protein_coding
HORVU2Hr1G031190	chr2H	117619424	117621098	43.58	protein_coding
HORVU2Hr1G026830	chr2H	86468791	86469301	61.45	protein_coding
HORVU2Hr1G015690	chr2H	34877345	34879075	52.61	protein_coding
HORVU2Hr1G083030	chr2H	603731394	603731835	71.95	protein_coding
HORVU2Hr1G083950	chr2H	609143480	609143980	46	protein_coding
HORVU2Hr1G038290	chr2H	179391591	179392774	39.95	protein_coding
HORVU2Hr1G043280	chr2H	219591459	219592130	39.58	protein_coding
HORVU2Hr1G052680	chr2H	316726533	316726746	60.75	protein_coding
HORVU2Hr1G086670	chr2H	623916048	623916560	52.24	protein_coding
HORVU2Hr1G043780	chr2H	225382581	225387077	46.21	protein_coding
HORVU2Hr1G087200	chr2H	626730259	626731284	56.24	protein_coding
HORVU2Hr1G061110	chr2H	409706999	409709717	39.48	protein_coding
HORVU2Hr1G085330	chr2H	617263792	617264825	67.02	protein_coding
HORVU2Hr1G039390	chr2H	187724105	187724964	58.26	protein_coding
HORVU2Hr1G011820	chr2H	24870018	24876176	59.13	protein_coding
HORVU2Hr1G080990	chr2H	587226635	587227423	41.24	protein_coding
HORVU2Hr1G023260	chr2H	69196769	69199681	0	nontranslating_CDS
HORVU2Hr1G005350	chr2H	11687118	11688514	67.43	protein_coding
HORVU2Hr1G049000	chr2H	275322987	275323196	55.24	protein_coding
HORVU2Hr1G056180	chr2H	353135616	353136078	43.84	protein_coding
HORVU2Hr1G034480	chr2H	141044046	141044817	63.12	protein_coding
HORVU2Hr1G083270	chr2H	605052424	605052831	43.38	protein_coding
HORVU2Hr1G040430	chr2H	196292202	196293371	38.97	protein_coding
HORVU2Hr1G049070	chr2H	275883090	275896430	44.43	protein_coding
HORVU2Hr1G032510	chr2H	126519719	126520171	0	nontranslating_CDS
HORVU2Hr1G034990	chr2H	144433855	144434317	0	nontranslating_CDS
HORVU2Hr1G069120	chr2H	487261444	487261927	45.45	protein_coding
HORVU2Hr1G053350	chr2H	325947052	325948255	0	nontranslating_CDS
HORVU2Hr1G020940	chr2H	58568418	58571051	45.94	protein_coding
HORVU2Hr1G077470	chr2H	559667234	559667877	41.77	protein_coding
HORVU2Hr1G042610	chr2H	214754164	214755017	39.93	protein_coding
HORVU2Hr1G044620	chr2H	232635377	232636625	53.96	protein_coding
HORVU2Hr1G006500	chr2H	13601197	13601520	47.84	protein_coding
HORVU2Hr1G063070	chr2H	425284382	425284945	42.2	protein_coding
HORVU2Hr1G030360	chr2H	111609035	111609580	34.2	protein_coding
HORVU2Hr1G015900	chr2H	35735236	35735508	41.76	protein_coding
HORVU2Hr1G087960	chr2H	631179875	631180076	58.91	protein_coding
HORVU2Hr1G067670	chr2H	473957695	473957841	59.86	protein_coding
HORVU2Hr1G011760	chr2H	24780536	24780952	0	nontranslating_CDS
HORVU2Hr1G082760	chr2H	601414265	601414474	48.57	protein_coding
HORVU2Hr1G054860	chr2H	338552240	338552473	0	nontranslating_CDS
HORVU2Hr1G075370	chr2H	543299672	543301400	45.2	protein_coding
HORVU2Hr1G006990	chr2H	14409948	14411177	65.62	protein_coding
HORVU2Hr1G039030	chr2H	185908988	185909913	67.49	protein_coding
HORVU2Hr1G044950	chr2H	235011098	235028067	53.03	protein_coding
HORVU2Hr1G041360	chr2H	203383457	203383638	51.65	protein_coding
HORVU2Hr1G044830	chr2H	234101302	234102802	39.29	protein_coding
HORVU2Hr1G006980	chr2H	14400851	14401144	46.26	protein_coding
HORVU2Hr1G044150	chr2H	229498731	229499172	40.27	protein_coding
HORVU2Hr1G061780	chr2H	417025572	417026788	0	nontranslating_CDS
HORVU2Hr1G061140	chr2H	409725283	409726071	45.75	protein_coding
HORVU2Hr1G048620	chr2H	272892288	272892461	59.2	protein_coding
HORVU2Hr1G052300	chr2H	310818130	310818340	49.76	protein_coding
HORVU2Hr1G038440	chr2H	180537649	180538909	59.87	protein_coding
HORVU2Hr1G066290	chr2H	458178859	458179758	54	protein_coding
HORVU2Hr1G010540	chr2H	20061514	20063400	43.51	protein_coding
HORVU2Hr1G066060	chr2H	456802272	456803421	36.52	protein_coding
HORVU2Hr1G015520	chr2H	34445410	34445730	49.53	protein_coding
HORVU2Hr1G070160	chr2H	494639515	494641929	46.63	protein_coding
HORVU2Hr1G080440	chr2H	582801430	582802002	54.8	protein_coding
HORVU2Hr1G013110	chr2H	28661176	28661841	57.21	protein_coding
HORVU2Hr1G026550	chr2H	84546452	84547978	45.97	protein_coding
HORVU2Hr1G044120	chr2H	229131363	229132282	43.59	protein_coding
HORVU2Hr1G055660	chr2H	347555417	347555674	61.24	protein_coding
HORVU2Hr1G081020	chr2H	587320845	587321454	45.08	protein_coding
HORVU2Hr1G078370	chr2H	567491181	567494241	45.93	protein_coding
HORVU2Hr1G022430	chr2H	65024900	65025421	59.96	protein_coding
HORVU2Hr1G059770	chr2H	397173872	397174318	40.72	protein_coding
HORVU2Hr1G077830	chr2H	563250201	563251216	57.78	protein_coding
HORVU2Hr1G027210	chr2H	89154958	89155909	55.99	protein_coding
HORVU2Hr1G067280	chr2H	471094350	471094913	67.02	protein_coding
HORVU2Hr1G066040	chr2H	456421810	456422001	62.5	protein_coding
HORVU2Hr1G058110	chr2H	376016351	376017031	0	nontranslating_CDS
HORVU2Hr1G051860	chr2H	306845395	306846745	45.08	protein_coding
HORVU2Hr1G010960	chr2H	21511885	21515469	39.69	protein_coding
HORVU2Hr1G042730	chr2H	215176055	215176249	55.38	protein_coding
HORVU2Hr1G035410	chr2H	149981257	149981936	48.09	protein_coding
HORVU2Hr1G063450	chr2H	428217519	428219184	62.61	protein_coding
HORVU2Hr1G071150	chr2H	505184999	505185761	46.92	protein_coding
HORVU2Hr1G045160	chr2H	236482466	236483068	38.87	protein_coding
HORVU2Hr1G073060	chr2H	525719742	525720679	61.51	protein_coding
HORVU2Hr1G079040	chr2H	572124601	572125135	0	nontranslating_CDS
HORVU2Hr1G018290	chr2H	46506763	46507957	36.53	protein_coding
HORVU2Hr1G085990	chr2H	620889212	620889684	58.56	protein_coding
HORVU2Hr1G076220	chr2H	549165949	549166137	0	nontranslating_CDS
HORVU2Hr1G056910	chr2H	363135810	363136961	70.23	protein_coding
HORVU2Hr1G069660	chr2H	491001218	491001433	39.81	protein_coding
HORVU2Hr1G020710	chr2H	57586835	57587032	41.41	protein_coding
HORVU2Hr1G046410	chr2H	249270844	249271705	51.86	protein_coding
HORVU2Hr1G061080	chr2H	409019435	409021535	43.84	protein_coding
HORVU2Hr1G085690	chr2H	619596531	619597651	60.48	protein_coding
HORVU2Hr1G051700	chr2H	304349423	304349578	53.21	protein_coding
HORVU2Hr1G027970	chr2H	93402008	93402241	37.61	protein_coding
HORVU2Hr1G077570	chr2H	561127569	561128779	56.65	protein_coding
HORVU2Hr1G037630	chr2H	173173987	173174234	55.65	protein_coding
HORVU2Hr1G080720	chr2H	585056638	585057645	61.01	protein_coding
HORVU2Hr1G014220	chr2H	31154699	31156128	0	nontranslating_CDS
HORVU2Hr1G048170	chr2H	267797393	267798096	42.81	protein_coding
HORVU2Hr1G063900	chr2H	432836455	432836965	46.97	protein_coding
HORVU2Hr1G027130	chr2H	88808907	88809290	58.59	protein_coding
HORVU2Hr1G059940	chr2H	398465409	398467662	48.62	protein_coding
HORVU2Hr1G033090	chr2H	131171249	131172066	49.02	protein_coding
HORVU2Hr1G006460	chr2H	13487634	13488054	60.33	protein_coding
HORVU6Hr1G093940	chr6H	580307102	580311329	0	nontranslating_CDS
HORVU6Hr1G091550	chr6H	575769878	575774590	43.33	protein_coding
HORVU6Hr1G078990	chr6H	536502866	536505155	56.38	protein_coding
HORVU6Hr1G085120	chr6H	557775734	557784987	42.3	protein_coding
HORVU6Hr1G075870	chr6H	522552832	522554494	47.08	protein_coding
HORVU6Hr1G088200	chr6H	565799867	565805994	43.41	protein_coding
HORVU6Hr1G051990	chr6H	319245725	319255953	45.21	protein_coding
HORVU6Hr1G033160	chr6H	149856196	149868725	46.81	protein_coding
HORVU6Hr1G070670	chr6H	492317577	492319739	45.08	protein_coding
HORVU6Hr1G035520	chr6H	171950458	171953695	42.62	protein_coding
HORVU6Hr1G054060	chr6H	340591782	340605332	45.89	protein_coding
HORVU6Hr1G082320	chr6H	548145529	548146794	46.37	protein_coding
HORVU6Hr1G048410	chr6H	293085821	293112209	44.91	protein_coding
HORVU6Hr1G086060	chr6H	560910208	560915842	42.66	protein_coding
HORVU6Hr1G069910	chr6H	485070656	485072770	55.41	protein_coding
HORVU6Hr1G061940	chr6H	414351834	414354940	43.35	protein_coding
HORVU6Hr1G038120	chr6H	192956246	192962393	43.92	protein_coding
HORVU6Hr1G031920	chr6H	137590678	137595370	40.28	protein_coding
HORVU6Hr1G020330	chr6H	56978027	56988192	44.43	protein_coding
HORVU6Hr1G078810	chr6H	536024167	536033753	45.48	protein_coding
HORVU6Hr1G047970	chr6H	288108794	288115807	43.17	protein_coding
HORVU6Hr1G015850	chr6H	35332616	35341698	0	nontranslating_CDS
HORVU6Hr1G094650	chr6H	581552567	581556341	51.58	protein_coding
HORVU6Hr1G076470	chr6H	526184771	526186468	63.07	protein_coding
HORVU6Hr1G093540	chr6H	579642553	579645434	39.28	protein_coding
HORVU6Hr1G063060	chr6H	423977332	423978718	43.26	protein_coding
HORVU6Hr1G051760	chr6H	316930406	316953097	46.19	protein_coding
HORVU6Hr1G064120	chr6H	433296922	433310512	48.11	protein_coding
HORVU6Hr1G032690	chr6H	144014493	144018437	52.72	protein_coding
HORVU6Hr1G065250	chr6H	446935135	446938734	54.42	protein_coding
HORVU6Hr1G064820	chr6H	442928653	442931507	51.49	protein_coding
HORVU6Hr1G035040	chr6H	166230581	166244401	47.38	protein_coding
HORVU6Hr1G089000	chr6H	567935419	567941984	48.37	protein_coding
HORVU6Hr1G074060	chr6H	512225967	512227677	61.43	protein_coding
HORVU6Hr1G058290	chr6H	381104860	381108282	58.11	protein_coding
HORVU6Hr1G022360	chr6H	70645069	70652474	41.86	protein_coding
HORVU6Hr1G067480	chr6H	467875841	467899329	44.57	protein_coding
HORVU6Hr1G025210	chr6H	90198606	90201286	57.59	protein_coding
HORVU6Hr1G040900	chr6H	221552713	221564703	49.34	protein_coding
HORVU6Hr1G091620	chr6H	575953451	575958038	51.98	protein_coding
HORVU6Hr1G016240	chr6H	36195453	36200764	46.2	protein_coding
HORVU6Hr1G062830	chr6H	420832324	420838288	41.12	protein_coding
HORVU6Hr1G084630	chr6H	555702889	555705021	43.79	protein_coding
HORVU6Hr1G026060	chr6H	96883556	96992067	43.14	protein_coding
HORVU6Hr1G031330	chr6H	132098828	132101303	48.59	protein_coding
HORVU6Hr1G095140	chr6H	583099054	583114539	0	nontranslating_CDS
HORVU6Hr1G094560	chr6H	581420812	581426034	42.95	protein_coding
HORVU6Hr1G083540	chr6H	551826142	551829159	43.11	protein_coding
