# List of all Hordeum genes mapped on one of the seven chromosomes of the Hv_IBSC_PGSB_v21			
# Chromosome / Start position of the gene (in bp from the origin of the chromosome)			
# with local recombination rate estimates (from MareyMap):  loess with span=0.2 and degree=2			
Gene	Chromosome	Start	Recombination
HORVU3Hr1G075750	3H	565667900	0.27
HORVU3Hr1G016970	3H	42668328	0.61
HORVU3Hr1G029090	3H	132720014	0.06
HORVU3Hr1G075990	3H	567387812	0.28
HORVU3Hr1G068630	3H	520169074	0.18
HORVU3Hr1G046830	3H	313481469	0
HORVU3Hr1G020880	3H	65978345	0.02
HORVU3Hr1G064190	3H	490224965	0.13
HORVU3Hr1G007540	3H	17959927	1.12
HORVU3Hr1G034020	3H	182741407	0
HORVU3Hr1G071350	3H	539931017	0.2
HORVU3Hr1G078950	3H	581098605	0.46
HORVU3Hr1G015570	3H	36651148	0.76
HORVU3Hr1G078260	3H	577355113	0.42
HORVU3Hr1G007980	3H	18618116	1.12
HORVU3Hr1G042060	3H	265284253	0
HORVU3Hr1G035170	3H	195194141	0
HORVU3Hr1G042290	3H	268461072	0
HORVU3Hr1G022590	3H	80883042	-0.02
HORVU3Hr1G025640	3H	101541794	0.03
HORVU3Hr1G078810	3H	580342487	0.45
HORVU3Hr1G047040	3H	317316276	-0.01
HORVU3Hr1G063320	3H	483896856	0.1
HORVU3Hr1G002790	3H	7317262	1.24
HORVU3Hr1G067020	3H	509051096	0.18
HORVU3Hr1G009210	3H	19885742	1.1
HORVU3Hr1G014060	3H	31648884	1
HORVU3Hr1G003920	3H	10600797	1.2
HORVU3Hr1G076660	3H	569204602	0.29
HORVU3Hr1G067760	3H	514503162	0.18
HORVU3Hr1G015130	3H	35260049	0.86
HORVU3Hr1G028330	3H	125832708	0.06
HORVU3Hr1G078110	3H	576162439	0.4
HORVU3Hr1G007270	3H	17563495	1.13
HORVU3Hr1G057720	3H	434727544	0
HORVU3Hr1G053760	3H	396186215	0.01
HORVU3Hr1G066380	3H	504883217	0.18
HORVU3Hr1G041990	3H	264936592	0
HORVU3Hr1G041820	3H	261022546	0
HORVU3Hr1G068620	3H	519963880	0.18
HORVU3Hr1G013380	3H	28893023	1.01
HORVU3Hr1G047160	3H	319229273	-0.01
HORVU3Hr1G070240	3H	531625508	0.17
HORVU3Hr1G026980	3H	113013662	0.05
HORVU3Hr1G019310	3H	52959295	0.29
HORVU3Hr1G061850	3H	470811385	0.05
HORVU3Hr1G023910	3H	89345676	0.01
HORVU3Hr1G032930	3H	171285077	0.02
HORVU3Hr1G027500	3H	118290343	0.05
HORVU3Hr1G014240	3H	32574680	0.98
HORVU3Hr1G076480	3H	568830688	0.28
HORVU3Hr1G045360	3H	297295795	0
HORVU3Hr1G056560	3H	423198827	0.01
HORVU3Hr1G003110	3H	7847381	1.23
HORVU3Hr1G019670	3H	56863527	0.19
HORVU3Hr1G074670	3H	559136249	0.29
HORVU3Hr1G050290	3H	358870178	0
HORVU3Hr1G011680	3H	25115716	1.01
HORVU3Hr1G069880	3H	529106665	0.18
HORVU3Hr1G066340	3H	504750440	0.18
HORVU3Hr1G055920	3H	417328920	0.02
HORVU3Hr1G029790	3H	139223375	0.06
HORVU3Hr1G002090	3H	4195978	1.26
HORVU3Hr1G117540	3H	698535946	NA
HORVU3Hr1G062350	3H	476138786	0.07
HORVU3Hr1G039600	3H	235267245	0.01
HORVU3Hr1G077200	3H	571935852	0.33
HORVU3Hr1G060310	3H	458663290	0.02
HORVU3Hr1G060500	3H	460762240	0.02
HORVU3Hr1G058170	3H	438361859	0
HORVU3Hr1G006150	3H	15186966	1.14
HORVU3Hr1G064300	3H	490796655	0.13
HORVU3Hr1G056100	3H	420762239	0.01
HORVU3Hr1G075380	3H	563332489	0.28
HORVU3Hr1G038360	3H	221289077	0.02
HORVU3Hr1G077530	3H	573456662	0.36
HORVU3Hr1G117280	3H	697794475	NA
HORVU3Hr1G063960	3H	488714701	0.12
HORVU3Hr1G000770	3H	1814509	1.26
HORVU3Hr1G056270	3H	421520851	0.01
HORVU3Hr1G068600	3H	519932792	0.18
HORVU3Hr1G015600	3H	36768355	0.76
HORVU3Hr1G000870	3H	1937564	1.26
HORVU3Hr1G068930	3H	522697670	0.18
HORVU3Hr1G116790	3H	696450874	NA
HORVU3Hr1G055420	3H	411157573	0.01
HORVU3Hr1G071750	3H	542307447	0.21
HORVU3Hr1G044380	3H	285997503	0
HORVU3Hr1G081420	3H	594831096	0.61
HORVU3Hr1G022380	3H	78994165	-0.02
HORVU3Hr1G002670	3H	6816020	1.24
HORVU3Hr1G050310	3H	359373855	0
HORVU3Hr1G004320	3H	11259992	1.2
HORVU3Hr1G058440	3H	441083231	0
HORVU3Hr1G011850	3H	25691177	0.99
HORVU3Hr1G034100	3H	183696041	0
HORVU3Hr1G075960	3H	567163924	0.27
HORVU3Hr1G072850	3H	549225012	0.24
HORVU3Hr1G071120	3H	538150623	0.18
HORVU3Hr1G007100	3H	17292587	1.13
HORVU3Hr1G076710	3H	569508359	0.29
HORVU3Hr1G039660	3H	236256859	0.01
HORVU3Hr1G000590	3H	1574281	1.26
HORVU3Hr1G054810	3H	408772312	0.01
HORVU3Hr1G049560	3H	349394798	0
HORVU3Hr1G071240	3H	538802945	0.19
HORVU3Hr1G035450	3H	197506208	0
HORVU3Hr1G012080	3H	26300595	0.97
HORVU3Hr1G000160	3H	382240	NA
HORVU3Hr1G024490	3H	94760104	0.02
HORVU3Hr1G016990	3H	42759065	0.6
HORVU3Hr1G024820	3H	96687557	0.02
HORVU3Hr1G071660	3H	542008882	0.21
HORVU3Hr1G003820	3H	10173748	1.21
HORVU3Hr1G076940	3H	570945947	0.31
HORVU3Hr1G032920	3H	171003940	0.02
HORVU3Hr1G068280	3H	517957684	0.18
HORVU3Hr1G068700	3H	520311285	0.18
HORVU3Hr1G029240	3H	134326946	0.06
HORVU3Hr1G068540	3H	519520568	0.18
HORVU3Hr1G016630	3H	40788338	0.66
HORVU3Hr1G077070	3H	571301429	0.31
HORVU3Hr1G066810	3H	507367458	0.18
HORVU3Hr1G052030	3H	376942926	0
HORVU3Hr1G019900	3H	58919635	0.14
HORVU3Hr1G049960	3H	355408773	0
HORVU3Hr1G010550	3H	23192777	1.05
HORVU3Hr1G013490	3H	29891413	1.02
HORVU3Hr1G000150	3H	358810	NA
HORVU3Hr1G035810	3H	200569988	0
HORVU3Hr1G077040	3H	571156523	0.31
HORVU3Hr1G060600	3H	461609516	0.02
HORVU3Hr1G048870	3H	339064182	0
HORVU3Hr1G019260	3H	52596223	0.3
HORVU3Hr1G004850	3H	12018849	1.19
HORVU3Hr1G038850	3H	226371075	0.01
HORVU3Hr1G061350	3H	467061232	0.04
HORVU3Hr1G059080	3H	446230541	0
HORVU3Hr1G030580	3H	147599909	0.05
HORVU3Hr1G057700	3H	434464533	0
HORVU3Hr1G117730	3H	699181834	NA
HORVU3Hr1G051080	3H	367855377	0
HORVU3Hr1G081570	3H	595141294	0.61
HORVU3Hr1G068520	3H	519355525	0.18
HORVU3Hr1G017490	3H	44576519	0.55
HORVU3Hr1G029370	3H	135048197	0.06
HORVU3Hr1G067800	3H	514516844	0.18
HORVU3Hr1G058320	3H	439331534	0
HORVU3Hr1G042140	3H	267285420	0
HORVU3Hr1G034080	3H	183647440	0
HORVU3Hr1G000900	3H	1981252	1.26
HORVU3Hr1G030020	3H	140897671	0.06
HORVU3Hr1G020270	3H	62465303	0.07
HORVU3Hr1G057020	3H	426974834	0
HORVU3Hr1G026610	3H	108839704	0.04
HORVU3Hr1G018860	3H	49676813	0.39
HORVU3Hr1G077170	3H	571729835	0.32
HORVU3Hr1G021220	3H	68251526	-0.01
HORVU3Hr1G078830	3H	580440772	0.45
HORVU3Hr1G003060	3H	7771286	1.23
HORVU3Hr1G018170	3H	47268971	0.47
HORVU3Hr1G060150	3H	457986299	0.02
HORVU3Hr1G070440	3H	532633820	0.17
HORVU3Hr1G055650	3H	413469358	0.01
HORVU3Hr1G033510	3H	176061814	0.01
HORVU3Hr1G005480	3H	13618748	1.16
HORVU3Hr1G031000	3H	152088923	0.05
HORVU3Hr1G059130	3H	447064974	0
HORVU3Hr1G030640	3H	148373082	0.05
HORVU3Hr1G045960	3H	303798530	0
HORVU3Hr1G018610	3H	48628066	0.43
HORVU3Hr1G076630	3H	569014663	0.29
HORVU3Hr1G042050	3H	265282655	0
HORVU3Hr1G033550	3H	176455178	0.01
HORVU3Hr1G011710	3H	25257585	1
HORVU3Hr1G074190	3H	557359236	0.28
HORVU3Hr1G058470	3H	441452592	0
HORVU3Hr1G003330	3H	8299858	1.23
HORVU3Hr1G022490	3H	80131683	-0.02
HORVU3Hr1G064750	3H	494195872	0.15
HORVU3Hr1G062310	3H	475502119	0.06
HORVU3Hr1G024530	3H	95271594	0.02
HORVU3Hr1G053540	3H	394386032	0.01
HORVU3Hr1G074730	3H	559501224	0.29
HORVU3Hr1G030720	3H	149466569	0.05
HORVU3Hr1G029300	3H	134809024	0.06
HORVU3Hr1G015060	3H	34957214	0.88
HORVU3Hr1G022070	3H	76349962	-0.03
HORVU3Hr1G010980	3H	23999213	1.03
HORVU3Hr1G026600	3H	108770958	0.04
HORVU3Hr1G064420	3H	491486104	0.14
HORVU3Hr1G002800	3H	7367954	1.24
HORVU3Hr1G029400	3H	135356471	0.06
HORVU3Hr1G022770	3H	82253055	-0.01
HORVU3Hr1G009360	3H	20026353	1.1
HORVU3Hr1G031950	3H	161080445	0.04
HORVU3Hr1G028720	3H	129964177	0.06
HORVU3Hr1G017970	3H	46499904	0.5
HORVU3Hr1G072920	3H	550211417	0.25
HORVU3Hr1G026870	3H	111849654	0.05
HORVU3Hr1G037970	3H	217128358	0.01
HORVU3Hr1G042520	3H	269956827	0
HORVU3Hr1G040640	3H	247373625	0.01
HORVU3Hr1G019480	3H	54793155	0.24
HORVU3Hr1G035400	3H	197166926	0
HORVU3Hr1G025820	3H	102207824	0.03
HORVU3Hr1G015210	3H	35556562	0.84
HORVU3Hr1G074660	3H	559095266	0.29
HORVU3Hr1G080790	3H	590763778	0.56
HORVU3Hr1G006590	3H	15979985	1.13
HORVU3Hr1G000230	3H	573876	NA
HORVU3Hr1G064290	3H	490788416	0.13
HORVU3Hr1G032790	3H	170153506	0.02
HORVU3Hr1G004920	3H	12240746	1.18
HORVU3Hr1G034230	3H	185042303	0
HORVU3Hr1G024090	3H	91463535	0.01
HORVU3Hr1G001680	3H	3691025	1.26
HORVU3Hr1G031690	3H	158707233	0.04
HORVU3Hr1G046970	3H	315704288	-0.01
HORVU3Hr1G006600	3H	16004261	1.13
HORVU3Hr1G056600	3H	423659545	0.01
HORVU3Hr1G030770	3H	149813635	0.05
HORVU3Hr1G053840	3H	396614420	0.01
HORVU3Hr1G019580	3H	55882453	0.21
HORVU3Hr1G075540	3H	564770923	0.27
HORVU3Hr1G065520	3H	498955613	0.18
HORVU3Hr1G078380	3H	578007471	0.43
HORVU3Hr1G028210	3H	124052960	0.06
HORVU3Hr1G007570	3H	17994078	1.12
HORVU3Hr1G021740	3H	74698719	-0.04
HORVU3Hr1G025650	3H	101715955	0.03
HORVU3Hr1G034460	3H	187361843	0
HORVU3Hr1G049110	3H	341774971	0
HORVU3Hr1G064990	3H	496166957	0.16
HORVU3Hr1G078530	3H	578730032	0.43
HORVU3Hr1G029200	3H	133974982	0.06
HORVU3Hr1G000340	3H	680058	1.26
HORVU3Hr1G016360	3H	39645407	0.69
HORVU3Hr1G019840	3H	57860355	0.16
HORVU3Hr1G065790	3H	501077315	0.18
HORVU3Hr1G011730	3H	25283045	1
HORVU3Hr1G062620	3H	477765260	0.07
HORVU3Hr1G054250	3H	401710358	0.01
HORVU3Hr1G064320	3H	491037145	0.13
HORVU3Hr1G012650	3H	27250090	0.96
HORVU3Hr1G014430	3H	33060582	0.97
HORVU3Hr1G014180	3H	32431644	0.99
HORVU3Hr1G068650	3H	520177894	0.18
HORVU3Hr1G004440	3H	11640517	1.19
HORVU3Hr1G037630	3H	214380449	0.01
HORVU3Hr1G002130	3H	4257540	1.26
HORVU3Hr1G050770	3H	364478332	0
HORVU3Hr1G020310	3H	63224095	0.06
HORVU3Hr1G019440	3H	54402943	0.25
HORVU3Hr1G022420	3H	79490104	-0.02
HORVU3Hr1G001510	3H	3507174	1.26
HORVU3Hr1G068840	3H	521561134	0.18
HORVU3Hr1G070340	3H	532169295	0.17
HORVU3Hr1G058910	3H	445382766	0
HORVU3Hr1G068360	3H	518352633	0.18
HORVU3Hr1G066420	3H	505434344	0.18
HORVU3Hr1G023810	3H	88885952	0.01
HORVU3Hr1G014790	3H	34312243	0.91
HORVU3Hr1G026560	3H	108217826	0.04
HORVU3Hr1G003040	3H	7737140	1.24
HORVU3Hr1G076080	3H	567671564	0.28
HORVU3Hr1G001020	3H	2334044	1.26
HORVU3Hr1G070700	3H	534569689	0.16
HORVU3Hr1G057940	3H	435976291	0
HORVU3Hr1G046860	3H	314183292	-0.01
HORVU3Hr1G063280	3H	482926372	0.09
HORVU3Hr1G053690	3H	395589402	0.01
HORVU3Hr1G001990	3H	4056601	1.26
HORVU3Hr1G026050	3H	103962637	0.04
HORVU3Hr1G004190	3H	11129395	1.2
HORVU3Hr1G034120	3H	184083766	0
HORVU3Hr1G067840	3H	514754995	0.18
HORVU3Hr1G017420	3H	44324822	0.56
HORVU3Hr1G014990	3H	34792111	0.89
HORVU3Hr1G010140	3H	21656953	1.08
HORVU3Hr1G036710	3H	207728554	0
HORVU3Hr1G018270	3H	47832914	0.45
HORVU3Hr1G070620	3H	534070062	0.16
HORVU3Hr1G042930	3H	274863478	0
HORVU3Hr1G069030	3H	523493175	0.18
HORVU3Hr1G008420	3H	19022221	1.11
HORVU3Hr1G077850	3H	574993077	0.39
HORVU3Hr1G034820	3H	191148282	0
HORVU3Hr1G018430	3H	48364026	0.44
HORVU3Hr1G011350	3H	24619263	1.02
HORVU3Hr1G059120	3H	446912069	0
HORVU3Hr1G064640	3H	493231750	0.14
HORVU3Hr1G038700	3H	224755599	0.02
HORVU3Hr1G005010	3H	12403607	1.18
HORVU3Hr1G066170	3H	503638644	0.18
HORVU3Hr1G039050	3H	229303877	0.01
HORVU3Hr1G021600	3H	72344811	-0.04
HORVU3Hr1G004270	3H	11203518	1.2
HORVU3Hr1G069620	3H	527662083	0.18
HORVU3Hr1G036870	3H	208334818	0
HORVU3Hr1G032490	3H	167103461	0.02
HORVU3Hr1G029350	3H	135042403	0.06
HORVU3Hr1G044640	3H	288612843	0
HORVU3Hr1G037800	3H	215850426	0.01
HORVU3Hr1G078330	3H	577713922	0.42
HORVU3Hr1G039560	3H	234452170	0.01
HORVU3Hr1G073790	3H	555470279	0.27
HORVU3Hr1G023160	3H	85840351	0
HORVU3Hr1G028550	3H	127834220	0.06
HORVU3Hr1G022600	3H	80885886	-0.02
HORVU3Hr1G080110	3H	586995121	0.51
HORVU3Hr1G010540	3H	23187753	1.05
HORVU3Hr1G012050	3H	26279584	0.98
HORVU3Hr1G071730	3H	542294709	0.21
HORVU3Hr1G000180	3H	488573	NA
HORVU3Hr1G061060	3H	465070198	0.03
HORVU3Hr1G059610	3H	452750506	0.01
HORVU3Hr1G025770	3H	102039973	0.03
HORVU3Hr1G062740	3H	479976250	0.08
HORVU3Hr1G034980	3H	192700102	0
HORVU3Hr1G067470	3H	512668899	0.18
HORVU3Hr1G027550	3H	118886433	0.06
HORVU3Hr1G031070	3H	152601834	0.05
HORVU3Hr1G074020	3H	556622089	0.27
HORVU3Hr1G037780	3H	215058374	0.01
HORVU3Hr1G014950	3H	34748770	0.89
HORVU3Hr1G006430	3H	15456613	1.13
HORVU3Hr1G019230	3H	52347755	0.31
HORVU3Hr1G116730	3H	696247676	NA
HORVU3Hr1G058570	3H	442119601	0
HORVU3Hr1G068380	3H	518357478	0.18
HORVU3Hr1G012510	3H	27005635	0.95
HORVU3Hr1G001450	3H	3274221	1.26
HORVU3Hr1G054330	3H	402173981	0.01
HORVU3Hr1G027910	3H	121820923	0.06
HORVU3Hr1G013470	3H	29537655	1.01
HORVU3Hr1G005540	3H	13640981	1.16
HORVU3Hr1G060580	3H	461391226	0.02
HORVU3Hr1G035590	3H	198160791	0
HORVU3Hr1G020300	3H	63036073	0.06
HORVU3Hr1G019130	3H	51121730	0.35
HORVU3Hr1G002980	3H	7685233	1.24
HORVU3Hr1G066020	3H	503111842	0.18
HORVU3Hr1G029750	3H	139100259	0.06
HORVU3Hr1G116930	3H	696703156	NA
HORVU3Hr1G005930	3H	14728453	1.14
HORVU3Hr1G066600	3H	506184580	0.18
HORVU3Hr1G073870	3H	556300751	0.27
HORVU3Hr1G014440	3H	33063768	0.97
HORVU3Hr1G006640	3H	16020626	1.13
HORVU3Hr1G074640	3H	559036774	0.29
HORVU3Hr1G041160	3H	256194419	0
HORVU3Hr1G005350	3H	13143474	1.17
HORVU3Hr1G010650	3H	23420505	1.05
HORVU3Hr1G051540	3H	373103521	0
HORVU3Hr1G080960	3H	592192222	0.58
HORVU3Hr1G031400	3H	155871610	0.04
HORVU3Hr1G058430	3H	440640995	0
HORVU3Hr1G033390	3H	175141152	0.01
HORVU3Hr1G080190	3H	587210258	0.52
HORVU3Hr1G018840	3H	49667067	0.39
HORVU3Hr1G069340	3H	526007632	0.17
HORVU3Hr1G036750	3H	207888058	0
HORVU3Hr1G058530	3H	441778818	0
HORVU3Hr1G039740	3H	236858232	0.01
HORVU3Hr1G078560	3H	579189854	0.44
HORVU3Hr1G054640	3H	406626904	0.01
HORVU3Hr1G032260	3H	164467825	0.03
HORVU3Hr1G015700	3H	36987192	0.75
HORVU3Hr1G035850	3H	201160740	0
HORVU3Hr1G037180	3H	210882436	0
HORVU3Hr1G062430	3H	476620678	0.07
HORVU3Hr1G076030	3H	567513840	0.28
HORVU3Hr1G028520	3H	127206515	0.06
HORVU3Hr1G071270	3H	539227533	0.19
HORVU3Hr1G054100	3H	399272359	0.01
HORVU3Hr1G027290	3H	116156735	0.05
HORVU3Hr1G053220	3H	390556213	0
HORVU3Hr1G049400	3H	346279516	0
HORVU3Hr1G001320	3H	2831215	1.26
HORVU3Hr1G015180	3H	35313117	0.85
HORVU3Hr1G064390	3H	491376493	0.13
HORVU3Hr1G021140	3H	67421435	0
HORVU3Hr1G023700	3H	87885761	0
HORVU3Hr1G036780	3H	207889404	0
HORVU3Hr1G070510	3H	532808634	0.16
HORVU3Hr1G039400	3H	232458418	0.01
HORVU3Hr1G049640	3H	350511726	0
HORVU3Hr1G070040	3H	530321347	0.18
HORVU3Hr1G024220	3H	92318103	0.01
HORVU3Hr1G023460	3H	86544773	0
HORVU3Hr1G076220	3H	567973945	0.28
HORVU3Hr1G048790	3H	338430030	0
HORVU3Hr1G045900	3H	303219666	0
HORVU3Hr1G002550	3H	6582407	1.25
HORVU3Hr1G003410	3H	8741340	1.23
HORVU3Hr1G073470	3H	553609683	0.26
HORVU3Hr1G049810	3H	352960270	0
HORVU3Hr1G031800	3H	159598290	0.04
HORVU3Hr1G080370	3H	588517086	0.53
HORVU3Hr1G076760	3H	570001436	0.3
HORVU3Hr1G014520	3H	33259880	0.96
HORVU3Hr1G007790	3H	18435881	1.12
HORVU3Hr1G026060	3H	103986514	0.04
HORVU3Hr1G003760	3H	9941983	1.21
HORVU3Hr1G014120	3H	32215742	0.99
HORVU3Hr1G054960	3H	409179098	0.01
HORVU3Hr1G006740	3H	16373954	1.13
HORVU3Hr1G046320	3H	308563003	0
HORVU3Hr1G061440	3H	467497972	0.04
HORVU3Hr1G064100	3H	489663696	0.13
HORVU3Hr1G039300	3H	232041872	0.01
HORVU3Hr1G072860	3H	549471098	0.24
HORVU3Hr1G058460	3H	441092714	0
HORVU3Hr1G067780	3H	514514936	0.18
HORVU3Hr1G079010	3H	581291047	0.46
HORVU3Hr1G081020	3H	592448150	0.59
HORVU3Hr1G040790	3H	251506106	0.01
HORVU3Hr1G081180	3H	593843244	0.6
HORVU3Hr1G004250	3H	11177840	1.2
HORVU3Hr1G055330	3H	410457848	0.01
HORVU3Hr1G078520	3H	578602529	0.43
HORVU3Hr1G074120	3H	557078570	0.28
HORVU3Hr1G070540	3H	533238898	0.16
HORVU3Hr1G045460	3H	298765399	0
HORVU3Hr1G069720	3H	528525315	0.18
HORVU3Hr1G023030	3H	84974509	0
HORVU3Hr1G024200	3H	91960896	0.01
HORVU3Hr1G050430	3H	362138964	0
HORVU3Hr1G071290	3H	539372004	0.2
HORVU3Hr1G056200	3H	421027990	0.01
HORVU3Hr1G016400	3H	39826363	0.68
HORVU3Hr1G066410	3H	505171992	0.18
HORVU3Hr1G043300	3H	279060588	0
HORVU3Hr1G080930	3H	591895503	0.58
HORVU3Hr1G030900	3H	151364973	0.05
HORVU3Hr1G050110	3H	356682944	0
HORVU3Hr1G019760	3H	57439148	0.17
HORVU3Hr1G081500	3H	594950009	0.61
HORVU3Hr1G018440	3H	48410107	0.44
HORVU3Hr1G039170	3H	230947068	0.01
HORVU3Hr1G055200	3H	410010034	0.01
HORVU3Hr1G036960	3H	209011180	0
HORVU3Hr1G052500	3H	381439153	0
HORVU3Hr1G019750	3H	57412482	0.17
HORVU3Hr1G024720	3H	96274649	0.02
HORVU3Hr1G018160	3H	47206820	0.47
HORVU3Hr1G069290	3H	525392338	0.17
HORVU3Hr1G058410	3H	440562247	0
HORVU3Hr1G076910	3H	570857092	0.31
HORVU3Hr1G052780	3H	386481039	0
HORVU3Hr1G061930	3H	472279099	0.05
HORVU3Hr1G057010	3H	426901582	0
HORVU3Hr1G074270	3H	557571407	0.28
HORVU3Hr1G000010	3H	20198	NA
HORVU3Hr1G037650	3H	214394967	0.01
HORVU3Hr1G050350	3H	360293177	0
HORVU3Hr1G076370	3H	568174871	0.28
HORVU3Hr1G041850	3H	261970668	0
HORVU3Hr1G034860	3H	191188130	0
HORVU3Hr1G017330	3H	44039649	0.57
HORVU3Hr1G072120	3H	544014580	0.22
HORVU3Hr1G037510	3H	213334393	0.01
HORVU3Hr1G080830	3H	590910969	0.56
HORVU3Hr1G077020	3H	571152216	0.31
HORVU3Hr1G062710	3H	479845073	0.08
HORVU3Hr1G117670	3H	699024910	NA
HORVU3Hr1G059850	3H	455125232	0.01
HORVU3Hr1G052350	3H	379875025	0
HORVU3Hr1G017610	3H	45327130	0.53
HORVU3Hr1G065140	3H	496710472	0.16
HORVU3Hr1G073860	3H	556298730	0.27
HORVU3Hr1G076400	3H	568354400	0.28
HORVU3Hr1G073830	3H	555807762	0.27
HORVU3Hr1G022220	3H	78060753	-0.02
HORVU3Hr1G048550	3H	335658218	0
HORVU3Hr1G052250	3H	378244602	0
HORVU3Hr1G038010	3H	217760255	0.01
HORVU3Hr1G027970	3H	122397816	0.06
HORVU3Hr1G069200	3H	524806641	0.17
HORVU3Hr1G019360	3H	53390310	0.28
HORVU3Hr1G022500	3H	80216668	-0.02
HORVU3Hr1G006620	3H	16008682	1.13
HORVU3Hr1G073750	3H	554962112	0.27
HORVU3Hr1G004100	3H	10978913	1.2
HORVU3Hr1G041760	3H	260881974	0
HORVU3Hr1G019770	3H	57508046	0.17
HORVU3Hr1G047440	3H	322725918	-0.01
HORVU3Hr1G036790	3H	207894995	0
HORVU3Hr1G068020	3H	516352457	0.18
HORVU3Hr1G007940	3H	18574869	1.12
HORVU3Hr1G042890	3H	273462159	0
HORVU3Hr1G046780	3H	313220460	0
HORVU3Hr1G005330	3H	13107105	1.17
HORVU3Hr1G015450	3H	36078213	0.8
HORVU3Hr1G019630	3H	56355607	0.2
HORVU3Hr1G027590	3H	119252012	0.06
HORVU3Hr1G058740	3H	443657431	0
HORVU3Hr1G077800	3H	574922799	0.39
HORVU3Hr1G070920	3H	535789536	0.17
HORVU3Hr1G040920	3H	253810949	0.01
HORVU3Hr1G012280	3H	26684916	0.96
HORVU3Hr1G067110	3H	509822495	0.18
HORVU3Hr1G058100	3H	437413070	0
HORVU3Hr1G031360	3H	155122653	0.04
HORVU3Hr1G051000	3H	367108887	0
HORVU3Hr1G079300	3H	582634395	0.48
HORVU3Hr1G059710	3H	453802876	0.01
HORVU3Hr1G062500	3H	477180998	0.07
HORVU3Hr1G020690	3H	64666810	0.04
HORVU3Hr1G079870	3H	585500081	0.5
HORVU3Hr1G074850	3H	560316839	0.29
HORVU3Hr1G059830	3H	454709586	0.01
HORVU3Hr1G021900	3H	75189689	-0.03
HORVU3Hr1G021110	3H	66927571	0.01
HORVU3Hr1G070430	3H	532630850	0.17
HORVU3Hr1G072940	3H	550356010	0.25
HORVU3Hr1G080150	3H	587011523	0.51
HORVU3Hr1G034310	3H	186017597	0
HORVU3Hr1G059880	3H	455703853	0.01
HORVU3Hr1G017020	3H	42858731	0.6
HORVU3Hr1G054730	3H	407815365	0.01
HORVU3Hr1G081170	3H	593562597	0.6
HORVU3Hr1G081260	3H	594159398	0.6
HORVU3Hr1G025270	3H	100248938	0.03
HORVU3Hr1G031320	3H	154534315	0.05
HORVU3Hr1G002750	3H	7020772	1.24
HORVU3Hr1G058220	3H	438651229	0
HORVU3Hr1G073050	3H	551757646	0.25
HORVU3Hr1G029120	3H	133055174	0.06
HORVU3Hr1G027260	3H	115613795	0.05
HORVU3Hr1G043380	3H	279755871	0
HORVU3Hr1G037330	3H	212192067	0.01
HORVU3Hr1G038060	3H	219053861	0.02
HORVU3Hr1G022840	3H	83331080	-0.01
HORVU3Hr1G070600	3H	533566324	0.16
HORVU3Hr1G060430	3H	460556342	0.02
HORVU3Hr1G018130	3H	47009339	0.48
HORVU3Hr1G031680	3H	158516891	0.04
HORVU3Hr1G024540	3H	95370432	0.02
HORVU3Hr1G050740	3H	364130945	0
HORVU3Hr1G002840	3H	7464073	1.24
HORVU3Hr1G049730	3H	351330809	0
HORVU3Hr1G059230	3H	448182224	0
HORVU3Hr1G006250	3H	15255304	1.13
HORVU3Hr1G062970	3H	481649627	0.09
HORVU3Hr1G078760	3H	580163039	0.45
HORVU3Hr1G070090	3H	530419276	0.18
HORVU3Hr1G015150	3H	35265949	0.86
HORVU3Hr1G000110	3H	252777	NA
HORVU3Hr1G080160	3H	587194986	0.52
HORVU3Hr1G052650	3H	383955862	0
HORVU3Hr1G003020	3H	7707898	1.24
HORVU3Hr1G007960	3H	18600792	1.12
HORVU3Hr1G075330	3H	563007569	0.28
HORVU3Hr1G038610	3H	223324257	0.02
HORVU3Hr1G066440	3H	505518057	0.18
HORVU3Hr1G035870	3H	201178719	0
HORVU3Hr1G043160	3H	278254855	0
HORVU3Hr1G032120	3H	163291292	0.03
HORVU3Hr1G069890	3H	529126437	0.18
HORVU3Hr1G066450	3H	505746522	0.18
HORVU3Hr1G080660	3H	589829423	0.54
HORVU3Hr1G058610	3H	442444217	0
HORVU3Hr1G072960	3H	550470506	0.25
HORVU3Hr1G012660	3H	27286314	0.96
HORVU3Hr1G034640	3H	188607093	0
HORVU3Hr1G043860	3H	284373017	0
HORVU3Hr1G053290	3H	391703105	0
HORVU3Hr1G052070	3H	377088381	0
HORVU3Hr1G032690	3H	169510356	0.02
HORVU3Hr1G005990	3H	14938362	1.14
HORVU3Hr1G011870	3H	25768311	0.99
HORVU3Hr1G014980	3H	34790235	0.89
HORVU3Hr1G063220	3H	482724652	0.09
HORVU3Hr1G053530	3H	394366174	0.01
HORVU3Hr1G020210	3H	62169500	0.08
HORVU3Hr1G116680	3H	696185373	NA
HORVU3Hr1G036350	3H	205273840	0
HORVU3Hr1G069070	3H	524011838	0.17
HORVU3Hr1G018500	3H	48455622	0.43
HORVU3Hr1G023590	3H	87162372	0
HORVU3Hr1G067770	3H	514505983	0.18
HORVU3Hr1G068580	3H	519852308	0.18
HORVU3Hr1G055000	3H	409453238	0.01
HORVU3Hr1G036650	3H	207487650	0
HORVU3Hr1G054780	3H	408283726	0.01
